s_m,x_m,y_m,z_ugr_m,radius_estimate_m,xy_method,geo_quality
5800.000,4677.506,-1345.405,,5504.366,closed_catmull_rom_through_station_anchors,GEO_D
5825.000,4678.940,-1370.364,,5614.294,closed_catmull_rom_through_station_anchors,GEO_D
5850.000,4680.263,-1395.329,,5737.355,closed_catmull_rom_through_station_anchors,GEO_D
5875.000,4681.477,-1420.300,,5850.494,closed_catmull_rom_through_station_anchors,GEO_D
5900.000,4682.585,-1445.275,,5961.791,closed_catmull_rom_through_station_anchors,GEO_D
5925.000,4683.588,-1470.255,,6067.888,closed_catmull_rom_through_station_anchors,GEO_D
5950.000,4684.488,-1495.239,,6170.517,closed_catmull_rom_through_station_anchors,GEO_D
5975.000,4685.287,-1520.226,,6282.403,closed_catmull_rom_through_station_anchors,GEO_D
6000.000,4685.986,-1545.216,,6384.185,closed_catmull_rom_through_station_anchors,GEO_D
6025.000,4686.587,-1570.209,,6479.928,closed_catmull_rom_through_station_anchors,GEO_D
6050.000,4687.092,-1595.204,,6567.143,closed_catmull_rom_through_station_anchors,GEO_D
6075.000,4687.502,-1620.200,,6670.659,closed_catmull_rom_through_station_anchors,GEO_D
6100.000,4687.818,-1645.198,,6757.449,closed_catmull_rom_through_station_anchors,GEO_D
6125.000,4688.042,-1670.197,,6826.594,closed_catmull_rom_through_station_anchors,GEO_D
6150.000,4688.174,-1695.197,,6924.397,closed_catmull_rom_through_station_anchors,GEO_D
6175.000,4688.216,-1720.197,,6984.536,closed_catmull_rom_through_station_anchors,GEO_D
6200.000,4688.168,-1745.197,,7063.489,closed_catmull_rom_through_station_anchors,GEO_D
6225.000,4688.032,-1770.197,,7118.858,closed_catmull_rom_through_station_anchors,GEO_D
6250.000,4687.808,-1795.196,,7189.521,closed_catmull_rom_through_station_anchors,GEO_D
6275.000,4687.497,-1820.194,,7221.478,closed_catmull_rom_through_station_anchors,GEO_D
6300.000,4687.100,-1845.190,,7284.190,closed_catmull_rom_through_station_anchors,GEO_D
6325.000,4686.616,-1870.186,,7319.836,closed_catmull_rom_through_station_anchors,GEO_D
6350.000,4686.048,-1895.179,,7348.717,closed_catmull_rom_through_station_anchors,GEO_D
6375.000,4685.394,-1920.171,,7369.521,closed_catmull_rom_through_station_anchors,GEO_D
6400.000,4684.656,-1945.160,,7387.032,closed_catmull_rom_through_station_anchors,GEO_D
6425.000,4683.833,-1970.146,,7390.751,closed_catmull_rom_through_station_anchors,GEO_D
6450.000,4682.926,-1995.130,,7390.568,closed_catmull_rom_through_station_anchors,GEO_D
6475.000,4681.934,-2020.110,,7381.061,closed_catmull_rom_through_station_anchors,GEO_D
6500.000,4680.857,-2045.087,,7360.830,closed_catmull_rom_through_station_anchors,GEO_D
6525.000,4679.696,-2070.060,,7313.226,closed_catmull_rom_through_station_anchors,GEO_D
6550.000,4678.449,-2095.029,,7283.822,closed_catmull_rom_through_station_anchors,GEO_D
6575.000,4677.117,-2119.993,,7222.835,closed_catmull_rom_through_station_anchors,GEO_D
6600.000,4675.698,-2144.953,,7147.934,closed_catmull_rom_through_station_anchors,GEO_D
6625.000,4674.192,-2169.907,,7069.171,closed_catmull_rom_through_station_anchors,GEO_D
6650.000,4672.597,-2194.857,,6969.801,closed_catmull_rom_through_station_anchors,GEO_D
6675.000,4670.914,-2219.800,,6865.833,closed_catmull_rom_through_station_anchors,GEO_D
6700.000,4669.139,-2244.737,,5129.649,closed_catmull_rom_through_station_anchors,GEO_D
6725.000,4667.243,-2269.665,,2988.805,closed_catmull_rom_through_station_anchors,GEO_D
6750.000,4665.138,-2294.576,,2942.074,closed_catmull_rom_through_station_anchors,GEO_D
6775.000,4662.822,-2319.468,,2991.326,closed_catmull_rom_through_station_anchors,GEO_D
6800.000,4660.298,-2344.340,,3029.993,closed_catmull_rom_through_station_anchors,GEO_D
6825.000,4657.569,-2369.191,,3080.340,closed_catmull_rom_through_station_anchors,GEO_D
6850.000,4654.638,-2394.018,,3123.250,closed_catmull_rom_through_station_anchors,GEO_D
6875.000,4651.508,-2418.822,,3170.723,closed_catmull_rom_through_station_anchors,GEO_D
6900.000,4648.183,-2443.600,,3218.948,closed_catmull_rom_through_station_anchors,GEO_D
6925.000,4644.666,-2468.351,,3263.823,closed_catmull_rom_through_station_anchors,GEO_D
6950.000,4640.959,-2493.074,,3317.049,closed_catmull_rom_through_station_anchors,GEO_D
6975.000,4637.066,-2517.769,,3359.492,closed_catmull_rom_through_station_anchors,GEO_D
7000.000,4632.989,-2542.435,,3416.717,closed_catmull_rom_through_station_anchors,GEO_D
7025.000,4628.732,-2567.069,,3459.224,closed_catmull_rom_through_station_anchors,GEO_D
7050.000,4624.297,-2591.673,,3517.023,closed_catmull_rom_through_station_anchors,GEO_D
7075.000,4619.688,-2616.244,,3562.957,closed_catmull_rom_through_station_anchors,GEO_D
7100.000,4614.906,-2640.783,,3618.600,closed_catmull_rom_through_station_anchors,GEO_D
7125.000,4609.954,-2665.287,,3669.081,closed_catmull_rom_through_station_anchors,GEO_D
7150.000,4604.836,-2689.758,,3722.068,closed_catmull_rom_through_station_anchors,GEO_D
7175.000,4599.553,-2714.193,,3777.637,closed_catmull_rom_through_station_anchors,GEO_D
7200.000,4594.109,-2738.593,,3827.182,closed_catmull_rom_through_station_anchors,GEO_D
7225.000,4588.506,-2762.957,,3888.319,closed_catmull_rom_through_station_anchors,GEO_D
7250.000,4582.746,-2787.284,,3934.434,closed_catmull_rom_through_station_anchors,GEO_D
7275.000,4576.831,-2811.575,,3998.100,closed_catmull_rom_through_station_anchors,GEO_D
7300.000,4570.765,-2835.827,,4049.097,closed_catmull_rom_through_station_anchors,GEO_D
7325.000,4564.549,-2860.042,,4106.334,closed_catmull_rom_through_station_anchors,GEO_D
7350.000,4558.186,-2884.219,,4166.533,closed_catmull_rom_through_station_anchors,GEO_D
7375.000,4551.678,-2908.357,,4215.154,closed_catmull_rom_through_station_anchors,GEO_D
7400.000,4545.027,-2932.456,,4280.913,closed_catmull_rom_through_station_anchors,GEO_D
7425.000,4538.235,-2956.516,,4336.445,closed_catmull_rom_through_station_anchors,GEO_D
7450.000,4531.305,-2980.536,,4390.307,closed_catmull_rom_through_station_anchors,GEO_D
7475.000,4524.238,-3004.516,,4454.635,closed_catmull_rom_through_station_anchors,GEO_D
7500.000,4517.037,-3028.456,,4512.725,closed_catmull_rom_through_station_anchors,GEO_D
7525.000,4509.703,-3052.357,,4565.337,closed_catmull_rom_through_station_anchors,GEO_D
7550.000,4502.238,-3076.216,,4631.205,closed_catmull_rom_through_station_anchors,GEO_D
7575.000,4494.644,-3100.035,,4690.386,closed_catmull_rom_through_station_anchors,GEO_D
7600.000,4486.924,-3123.813,,4749.819,closed_catmull_rom_through_station_anchors,GEO_D
7625.000,4479.079,-3147.550,,4805.868,closed_catmull_rom_through_station_anchors,GEO_D
7650.000,4471.110,-3171.246,,4869.360,closed_catmull_rom_through_station_anchors,GEO_D
7675.000,4463.020,-3194.901,,4930.361,closed_catmull_rom_through_station_anchors,GEO_D
7700.000,4454.810,-3218.514,,4990.712,closed_catmull_rom_through_station_anchors,GEO_D
7725.000,4446.482,-3242.086,,5051.261,closed_catmull_rom_through_station_anchors,GEO_D
7750.000,4438.037,-3265.617,,5111.998,closed_catmull_rom_through_station_anchors,GEO_D
